site_name,usgs_site_id,hu,sampledate,sample_time,time_zone,sampling_method,anc,anc_1,c13_c12_ratio,ca,cl,co2,co3,color,conductance_field,conductance_lab,dic,dkn,do,doc,don,dp,f,fe,h_ion,h20_hardness,h20_hardness_2,hco3,k,mg,mn,n_mixed,n_mixed_1,n_mixed_2,na,nh3_nh4,nh3_nh4_1,nh3_nh4_2,nh3_nh4_3,no2,no2_2,no3,no3_2,no32,no32_2,o18_o16_ratio,o2sat,ph_field,ph_lab,po4,po4_2,s,sar,si,so4,spc,sr,tds,tds_1,tds_2,tkn,toc,ton,tp,tp_2,tpc,tpn
ALLEQUASH CREEK,5357215,7050002,3/28/1994,13:40:00,CST,GRAB,900,,,12.9,,3.9,,,,,12.9,,,3.4,,,,120,0.00005,46.3,,,0.88,3.42,20,0.41,,,1.84,0.045,,,0.058,,,,,,0.014,,,7.4,,0.031,0.01,1290,0.12,,,8,,,,,0.4,,0.36,0.028,,,
ALLEQUASH CREEK,5357215,7050002,5/5/1994,9:50:00,CDT,GRAB,760,,,10.4,,1.4,,,,,10,,,3.9,,,,70,0.00002,37.6,,,,2.82,20,,,,1.57,,,,,,,,,,,,,7.7,,,,1110,0.11,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,5/25/1994,10:25:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,,,,,,,,,,0.009,,,
STEVENSON CREEK,5357225,7050002,5/25/1994,11:12:00,CDT,GRAB,900,,,12.6,,5.7,,,,,,,,,,,,450,0.00007,45.6,,,,3.43,80,,,,1.85,,,,,,,,,,,,,7.2,,,,850,0.12,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,5/25/1994,11:20:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,,,0.055,,,,,,,,,,,,,,,,,,,,,,0.3,,0.26,,,,
ALLEQUASH CREEK,5357215,7050002,5/25/1994,11:53:00,CDT,GRAB,880,,,11.9,,2.7,,,,,,,,,,,,130,0.00003,43.6,,,,3.36,40,,,,1.88,,,,,,,,,,,,,7.5,,,,1070,0.12,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,5/25/1994,9:30:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,5/25/1994,10:49:00,CDT,GRAB,840,,,13.2,,2.5,,,,,,,,,,,,90,0.00003,45.9,,,,3.14,10,,,,1.7,,,,,,,,,,,,,7.5,,,,1980,0.11,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,5/25/1994,12:39:00,CDT,GRAB,870,,,12.2,,0.6,,,,,,,,,,,,,0.00001,43.8,,,,3.24,,,,,1.96,,,,,,,,,,,,,8.2,,,,1030,0.13,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,5/25/1994,12:45:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,,,0.086,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,7/13/1994,9:00:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,0.042,,,0.054,,,,,,0.013,,,,,0.018,0.006,,,,,,,,,,0.4,,0.36,0.018,,,
