lakeid,sampledate,depth,rep,sta,event,dic,tic,doc,toc,totpf,totpuf,totpuf_sloh,drp_sloh
"ME",2003-09-29,8.00,1,1,,42.37,42.75,5.69,5.83,,,,
"ME",2003-09-29,9.00,1,1,,,,,,,,,
"ME",2003-09-29,10.00,1,1,,,,,,,,,
"ME",2003-09-29,11.00,1,1,,,,,,,,,
"ME",2003-09-29,12.00,1,1,,,,,,,,,
"ME",2003-09-29,13.00,1,1,,,,,,,,,
"ME",2003-09-29,14.00,1,1,,,,,,,,,
"ME",2003-09-29,15.00,1,1,,,,,,,,,
"ME",2003-09-29,15.50,1,1,,,,,,,,,
"ME",2003-09-29,16.00,1,1,,,,,,,,,
"ME",2003-09-29,16.50,1,1,,,,,,,,,
"ME",2003-09-29,17.00,1,1,,,,,,,,,
"ME",2003-09-29,18.00,1,1,,,,,,,,,
"ME",2003-09-29,19.00,1,1,,,,,,,,,
"ME",2003-09-29,20.00,1,1,,54.26,55.06,5.35,5.38,,,0.600,1.440
"ME",2003-09-29,21.00,1,1,,,,,,,,,
"ME",2003-09-29,22.00,1,1,,,,,,,,,
"ME",2003-09-29,23.00,1,1,,,,,,,,,
"ME",2003-09-29,24.00,1,1,,,,,,,,,
"ME",2003-09-29,24.50,1,1,,,,,,,,,
"ME",2003-09-29,20.00,2,1,,54.66,55.25,5.11,5.32,,,,
"ME",2003-10-27,0.00,1,1,,49.32,49.03,5.57,5.79,,,0.126,0.104
"ME",2003-10-27,1.00,1,1,,,,,,,,,
"ME",2003-10-27,2.00,1,1,,,,,,,,,
"ME",2003-10-27,3.00,1,1,,,,,,,,,
"ME",2003-10-27,4.00,1,1,,49.46,49.22,5.66,5.90,,,0.129,0.103
"ME",2003-10-27,5.00,1,1,,,,,,,,,
"ME",2003-10-27,6.00,1,1,,,,,,,,,
"ME",2003-10-27,7.00,1,1,,,,,,,,,
"ME",2003-10-27,8.00,1,1,,49.36,49.51,5.58,6.19,,,,
"ME",2003-10-27,9.00,1,1,,,,,,,,,
"ME",2003-10-27,10.00,1,1,,,,,,,,,
"ME",2003-10-27,11.00,1,1,,,,,,,,,
"ME",2003-10-27,12.00,1,1,,,,,,,,,
"ME",2003-10-27,13.00,1,1,,,,,,,,,
"ME",2003-10-27,14.00,1,1,,,,,,,,,
